Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Penta Kills,Solo Kills
53,0.377,2.2,2.4,3.6,5.7,6.6,339,0.626,0.19899999999999998,345,0.77,0.34,0.18,0.1,-323,-12,-417,0.151,0.113,0,6
3,0.33299999999999996,1.4,0.7,3.7,4.3,6.9,325,0.722,0.222,296,0.78,0.49,0.16,0.19,-408,4,206,0.33299999999999996,0.33299999999999996,0,1
43,0.395,2.6,2.3,2.8,5.0,7.4,357,0.589,0.245,441,1.1,0.47,0.15,0.17,-127,1,78,0.233,0.209,0,8
49,0.449,2.5,2.2,2.9,5.1,7.7,371,0.632,0.25,469,0.87,0.29,0.17,0.13,-184,-8,-343,0.245,0.122,0,9
1,0.0,1.1,3.0,9.0,7.0,5.7,326,0.32299999999999995,0.11,338,0.62,0.33,0.05,0.02,-805,-40,-849,0.0,0.0,0,0
37,0.324,1.7,1.6,2.8,3.1,8.2,377,0.501,0.221,341,0.98,0.44,0.19,0.19,-257,-9,-247,0.081,0.18899999999999997,0,10
12,0.33299999999999996,2.2,3.3,4.7,7.0,7.5,388,0.599,0.267,504,1.07,0.45,0.16,0.14,371,1,-3,0.16699999999999998,0.25,0,13
87,0.276,1.6,2.0,3.8,4.1,6.9,334,0.598,0.23600000000000002,409,0.84,0.43,0.15,0.13,-535,-11,-282,0.172,0.149,0,30
5,0.0,1,1.6,3.4,1.8,6.9,326,0.523,0.23399999999999999,328,0.91,0.4,0.12,0.14,-336,-13,-354,0.0,0.0,0,2
60,0.6,3,2.2,2.4,5.1,7.3,357,0.578,0.235,409,0.94,0.46,0.13,0.16,-54,-1,82,0.15,0.217,0,17
4,0.25,1.2,1.0,5.8,5.8,5.1,285,0.507,0.20800000000000002,398,0.97,0.45,0.09,0.17,-661,-6,151,0.5,0.25,0,0
22,0.545,2.8,4.0,3.2,5.1,8.5,416,0.51,0.235,460,0.86,0.37,0.15,0.1,328,17,307,0.182,0.182,0,18
41,0.659,2.4,4.3,3.8,4.9,7.5,404,0.589,0.245,507,0.9,0.43,0.13,0.17,-40,1,80,0.171,0.244,0,30
31,0.484,3,3.1,2.8,5.2,8.1,396,0.59,0.267,495,1.12,0.39,0.2,0.12,419,14,351,0.19399999999999998,0.09699999999999999,0,7
1,0.0,1.4,1.0,5.0,6.0,8.7,391,0.7,0.205,349,1.09,0.46,0.14,0.17,765,22,513,1.0,0.0,0,0
28,0.28600000000000003,2.4,1.8,2.1,3.1,7.7,355,0.591,0.215,361,0.94,0.47,0.13,0.2,-9,-3,-150,0.321,0.071,0,7
1,1.0,5.3,3.0,3.0,13.0,5.9,411,0.457,0.14400000000000002,452,0.88,0.44,0.07,0.2,910,-28,-489,1.0,0.0,0,0
1,0.0,3,2.0,2.0,4.0,6.3,302,0.462,0.24600000000000002,419,0.94,0.56,0.09,0.22,-545,-17,-537,0.0,0.0,0,0
21,0.429,2.5,2.5,2.7,4.2,7.5,358,0.596,0.22899999999999998,396,0.95,0.45,0.17,0.13,-500,-6,-95,0.33299999999999996,0.23800000000000002,0,2
