Games,Win Rate,KDA,Avg Kills,Avg Deaths,Avg Assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB%,FB Victim,Solo Kills
68,0.588,3.6,3.0,2.2,4.9,9.1,416,0.5670000000000001,0.24600000000000002,466,1.0,0.37,0.21,0.16,-86,1,19,0.132,0.11800000000000001,14
48,0.563,3.9,3.4,2.6,6.8,7.2,367,0.684,0.19899999999999998,378,1.01,0.49,0.15,0.25,-379,-17,-363,0.396,0.042,1
27,0.48100000000000004,2.9,3.1,2.8,4.9,7.5,369,0.626,0.231,405,1.05,0.42,0.16,0.16,-17,-5,-2,0.111,0.111,9
18,0.556,3.2,3.8,2.8,5.1,9.0,419,0.525,0.285,617,1.07,0.49,0.19,0.22,350,13,394,0.16699999999999998,0.055999999999999994,14
57,0.772,6.1,3.5,1.8,7.6,7.8,394,0.7240000000000001,0.25,519,1.01,0.47,0.15,0.17,170,-5,19,0.33299999999999996,0.035,14
102,0.578,3.1,3.9,3.0,5.3,8.8,411,0.621,0.259,552,1.11,0.42,0.16,0.17,22,7,96,0.127,0.127,43
57,0.526,3.6,3.7,2.5,5.4,7.7,374,0.594,0.254,484,1.19,0.49,0.21,0.17,-98,-2,-48,0.12300000000000001,0.105,38
56,0.804,5.4,6.1,2.3,6.2,8.9,459,0.6559999999999999,0.308,697,1.03,0.39,0.24,0.13,825,10,459,0.321,0.125,39
48,0.5,3.4,2.7,2.3,5.1,8.0,375,0.6629999999999999,0.237,445,1.01,0.44,0.19,0.18,-180,-4,81,0.16699999999999998,0.042,7
11,0.182,1.6,2.3,4.5,5.1,6.6,336,0.552,0.21100000000000002,352,0.75,0.4,0.08,0.15,-1301,-27,-800,0.182,0.182,3
21,0.47600000000000003,2.3,3.8,3.7,4.8,8.3,395,0.5710000000000001,0.292,537,0.86,0.32,0.16,0.09,-478,-12,-434,0.048,0.0,14
61,0.24600000000000002,2.1,3.2,3.9,5.1,8.5,399,0.631,0.284,529,1.05,0.48,0.21,0.21,50,0,4,0.115,0.18,26
66,0.5,4.2,3.1,2.3,6.5,8.7,388,0.662,0.233,417,1.33,0.62,0.21,0.28,-208,0,-122,0.136,0.03,12
50,0.78,6.1,5.3,1.9,6.6,8.5,428,0.6729999999999999,0.282,568,1.18,0.48,0.2,0.18,343,6,220,0.22,0.06,27
10,0.2,2.8,5.0,3.5,4.8,7.2,369,0.6859999999999999,0.294,640,1.18,0.56,0.2,0.22,-96,-8,-206,0.3,0.0,5
12,0.33299999999999996,3.4,4.2,3.1,6.3,8.2,402,0.623,0.225,422,0.83,0.32,0.1,0.12,-432,-9,-187,0.0,0.083,6
18,0.389,2.6,1.8,2.5,4.7,7.8,357,0.6729999999999999,0.242,367,0.92,0.42,0.17,0.22,-382,-14,-576,0.16699999999999998,0.055999999999999994,1
14,0.214,1.7,1.8,3.8,4.5,6.9,325,0.5,0.198,358,0.75,0.34,0.11,0.13,-669,-7,-319,0.14300000000000002,0.214,2
34,0.765,4.6,5.0,2.6,6.9,8.5,430,0.628,0.26899999999999996,623,1.09,0.46,0.22,0.16,332,3,195,0.265,0.028999999999999998,7
25,0.64,5.1,4.5,2.0,6.0,7.7,393,0.648,0.282,549,1.07,0.47,0.21,0.2,303,6,92,0.28,0.04,11
42,0.7859999999999999,3.7,4.5,2.7,5.8,8.3,420,0.637,0.248,509,0.94,0.41,0.14,0.18,84,4,166,0.19,0.11900000000000001,21
